stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,6-Nov-17,INE298J01013,,#N/A,MPS,Printing & Stationery,372.2,-0.55,-0.15,693,Miscellaneous
NATCOPHARM,Natco Pharma Limited,EQ,27-Dec-95,INE987B01026,,#N/A,SMS Lifescience,Miscellaneous,632,-1.2,-0.19,191,Miscellaneous
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ,28-Jan-14,INE448G01010,,#N/A,Aaron Industrie,Miscellaneous,49.65,-0.1,-0.2,50,Miscellaneous
NATIONALUM,National Aluminium Company Limited,EQ,28-Apr-99,INE139A01034,,#N/A,Linc PenandPlas,Miscellaneous,184.4,-0.4,-0.22,274,Miscellaneous
NATNLSTEEL,National Steel And Agro Industries Limited,BE,26-Sep-02,INE088B01015,,#N/A,Cochin Shipyard,Miscellaneous,359,-0.8,-0.22,"4,722",Miscellaneous
NAUKRI,Info Edge (India) Limited,EQ,21-Nov-06,INE663F01024,,#N/A,Vaibhav Global,Retail,2091,-5.35,-0.26,"6,796",Miscellaneous
NAVINFLUOR,Navin Fluorine International Limited,EQ,1-Jun-07,INE048G01026,,#N/A,Banaras Beads,Miscellaneous,53.5,-0.15,-0.28,36,Miscellaneous
NAVKARCORP,Navkar Corporation Limited,EQ,9-Sep-15,INE278M01019,,#N/A,D-Link India,Computers - Hardware,117,-0.35,-0.3,415,Miscellaneous
NAVNETEDUL,Navneet Education Limited,EQ,8-Feb-95,INE060A01024,,#N/A,Galaxy Surfacta,Miscellaneous,1895,-5.7,-0.3,"6,719",Miscellaneous
NBCC,NBCC (India) Limited,EQ,12-Apr-12,INE095N01031,,#N/A,Shankara Buildi,Miscellaneous,346.35,-1.2,-0.35,791,Miscellaneous
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,23-Nov-16,INE365I01020,,#N/A,Apollo Micro Sy,Miscellaneous,125.7,-0.45,-0.36,261,Miscellaneous
NBVENTURES,Nava Bharat Ventures Limited,EQ,3-Apr-96,INE725A01022,,#N/A,CL Educate,Miscellaneous,62.9,-0.25,-0.4,89,Miscellaneous
NCC,NCC Limited,EQ,14-Oct-03,INE868B01028,,#N/A,S H Kelkar,Chemicals,125.8,-0.5,-0.4,"1,778",Miscellaneous
NCLIND,NCL Industries Limited,EQ,3-Apr-07,INE732C01016,,#N/A,IndiGrid InvIT,Power - Generation & Distribution,113.21,-0.45,-0.4,"6,606",Miscellaneous
NDGL,Naga Dhunseri Group Limited,EQ,29-Aug-16,INE756C01015,,#N/A,Apcotex Ind,Rubber,169.45,-0.7,-0.41,879,Miscellaneous
NDL,Nandan Denim Limited,EQ,23-Mar-12,INE875G01030,,Somany Home Innovation Limited,SHIL,Miscellaneous,142.2,-0.6,-0.42,"1,028",Miscellaneous
NDRAUTO,Ndr Auto Components Limited,EQ,30-Jul-20,INE07OG01012,,#N/A,Suumaya Lifesty,Miscellaneous,102.05,-0.45,-0.44,245,Miscellaneous
NDTV,New Delhi Television Limited,EQ,19-May-04,INE155G01029,,#N/A,Nippon,Miscellaneous,304.6,-1.35,-0.44,"18,663",Miscellaneous
NECCLTD,North Eastern Carrying Corporation Limited,EQ,2-Mar-16,INE553C01016,,#N/A,Satin Credit,Finance - Investments,78.95,-0.35,-0.44,569,Miscellaneous
NECLIFE,Nectar Lifesciences Limited,EQ,18-Jul-05,INE023H01027,,#N/A,GRP,Rubber,940.05,-4.7,-0.5,125,Miscellaneous
NELCAST,Nelcast Limited,EQ,27-Jun-07,INE189I01024,,#N/A,Kaya,Miscellaneous,285.1,-1.5,-0.52,372,Miscellaneous
NELCO,NELCO Limited,EQ,28-May-03,INE045B01015,,#N/A,Websol Energy,Electric Equipment,27.65,-0.15,-0.54,85,Miscellaneous
NEOGEN,Neogen Chemicals Limited,EQ,8-May-19,INE136S01016,,#N/A,AVT Natural,Edible Oils & Solvent Extraction,45.8,-0.25,-0.54,697,Miscellaneous
NESCO,Nesco Limited,EQ,8-Apr-08,INE317F01035,,#N/A,5paisa Capita,Miscellaneous,327,-1.85,-0.56,833,Miscellaneous
NESTLEIND,Nestle India Limited,EQ,8-Jan-10,INE239A01016,,#N/A,CVL,Miscellaneous,268,-1.55,-0.58,711,Miscellaneous
NETWORK18,Network18 Media & Investments Limited,EQ,2-Feb-07,INE870H01013,,Ruchi Infrastructure Limited,Ruchinfra,Edible Oils & Solvent Extraction,7.85,-0.05,-0.63,161,Miscellaneous
NEULANDLAB,Neuland Laboratories Limited,EQ,13-Oct-08,INE794A01010,,#N/A,Global Vectra,Transport & Logistics,60.3,-0.4,-0.66,84,Miscellaneous
NEWGEN,Newgen Software Technologies Limited,EQ,29-Jan-18,INE619B01017,,#N/A,CRISIL,Miscellaneous,1915.7,-13.45,-0.7,"13,907",Miscellaneous
NEXTMEDIA,Next Mediaworks Limited,EQ,4-Apr-01,INE747B01016,,#N/A,S.S. Infrastruc,Miscellaneous,7,-0.05,-0.71,10,Miscellaneous
NFL,National Fertilizers Limited,EQ,28-Dec-06,INE870D01012,,#N/A,Steel City Secu,Miscellaneous,34.55,-0.25,-0.72,52,Miscellaneous
NH,Narayana Hrudayalaya Ltd.,EQ,6-Jan-16,INE410P01011,,#N/A,Akash Infraproj,Miscellaneous,246.2,-1.85,-0.75,415,Miscellaneous
NHPC,NHPC Limited,EQ,1-Sep-09,INE848E01016,,#N/A,Mishra Dhatu Ni,Miscellaneous,198.1,-1.5,-0.75,"3,711",Miscellaneous
NIACL,The New India Assurance Company Limited,EQ,13-Nov-17,INE470Y01017,,#N/A,CenturyPlyboard,Miscellaneous,218.65,-1.7,-0.77,"4,858",Miscellaneous
NIBL,NRB Industrial Bearings Limited,BE,9-Apr-13,INE047O01014,,#N/A,Bharat Dynamics,Miscellaneous,337,-2.8,-0.82,"6,177",Miscellaneous
NIITLTD,NIIT Limited,EQ,16-Aug-04,INE161A01038,,#N/A,Bliss GVS,Pharmaceuticals,174.6,-1.5,-0.85,"1,801",Miscellaneous
NILAINFRA,Nila Infrastructures Limited,EQ,21-May-15,INE937C01029,,#N/A,Dredging Corp,Miscellaneous,291.75,-2.55,-0.87,817,Miscellaneous
NILASPACES,Nila Spaces Limited,EQ,28-Dec-18,INE00S901012,,#N/A,SUMITOMO,,301.9,-2.7,-0.89,"15,069",Miscellaneous
NILKAMAL,Nilkamal Limited,EQ,1-Nov-95,INE310A01015,,#N/A,Rail Vikas,Miscellaneous,23.15,-0.25,-1.07,"4,827",Miscellaneous
NIPPOBATRY,Indo-National Limited,EQ,6-Oct-99,INE567A01010,,#N/A,Adani Trans,Power - Transmission & Equipment,420.3,-4.75,-1.12,"46,225",Miscellaneous
NIRAJ,Niraj Cement Structurals Limited,BE,1-Oct-20,INE368I01016,,#N/A,Jocil,Chemicals,176.7,-2.05,-1.15,157,Miscellaneous
NIRAJISPAT,Niraj Ispat Industries Limited,BE,27-Oct-16,INE326T01011,,#N/A,Surana Solar,Electric Equipment,8.35,-0.1,-1.18,41,Miscellaneous
NITCO,Nitco Limited,EQ,21-Mar-06,INE858F01012,,#N/A,JISL,Miscellaneous,12.5,-0.15,-1.19,24,Miscellaneous
NITINFIRE,Nitin Fire Protection Industries Limited,BZ,5-Jun-07,INE489H01020,,#N/A,Gujarat Fluoro,Chemicals,569.7,-6.85,-1.19,"6,258",Miscellaneous
NITINSPIN,Nitin Spinners Limited,BE,2-Feb-06,INE229H01012,,#N/A,AB Capital,Finance - Investments,92.25,-1.15,-1.23,"22,278",Miscellaneous
NKIND,NK Industries Limited,EQ,7-Jul-95,INE542C01019,,#N/A,HDFC Life,Miscellaneous,656.25,-8.25,-1.24,"132,558",Miscellaneous
NLCINDIA,NLC India Limited,EQ,23-Aug-00,INE589A01014,,#N/A,TeamLease Ser.,Miscellaneous,2670.6,-34.2,-1.26,"4,566",Miscellaneous
NMDC,NMDC Limited,EQ,3-Mar-08,INE584A01023,,#N/A,Thomas Cook,Miscellaneous,50.25,-0.65,-1.28,"1,901",Miscellaneous
NOCIL,NOCIL Limited,EQ,17-Jan-96,INE163A01018,,#N/A,Jubilant Food,Miscellaneous,2614.15,-34,-1.28,"34,499",Miscellaneous
NOIDATOLL,Noida Toll Bridge Company Limited,BE,6-Dec-02,INE781B01015,,#N/A,AMSL,Hospitals & Medical Services,226,-3,-1.31,299,Miscellaneous
NORBTEAEXP,Norben Tea & Exports Limited,EQ,26-Jun-96,INE369C01017,,#N/A,Navneet,Printing & Stationery,86.1,-1.2,-1.37,"1,971",Miscellaneous
NOVARTIND,Novartis India Limited,EQ,8-Nov-00,INE234A01025,,#N/A,Matrimony.com,Miscellaneous,816.45,-11.45,-1.38,"1,860",Miscellaneous
NRAIL,N R Agarwal Industries Limited,EQ,5-Apr-17,INE740D01017,,#N/A,Sheela Foam,Miscellaneous,1676.55,-24.15,-1.42,"8,179",Miscellaneous
NRBBEARING,NRB Bearing Limited,EQ,8-Mar-00,INE349A01021,,#N/A,Dishman Carboge,Miscellaneous,151.4,-2.2,-1.43,"2,374",Miscellaneous
NSIL,Nalwa Sons Investments Limited,EQ,17-Nov-03,INE023A01030,,#N/A,Digicontent,Miscellaneous,13.25,-0.2,-1.49,77,Miscellaneous
NTL,Neueon Towers Limited,EQ,11-Sep-13,INE333I01036,,#N/A,Infibeam Avenue,Miscellaneous,84.25,-1.3,-1.52,"5,607",Miscellaneous
NTPC,NTPC Limited,EQ,5-Nov-04,INE733E01010,,#N/A,Spencer Retail,Miscellaneous,85,-1.45,-1.68,766,Miscellaneous
NUCLEUS,Nucleus Software Exports Limited,EQ,19-Dec-02,INE096B01018,,#N/A,KDDL,Miscellaneous,206.4,-3.55,-1.69,240,Miscellaneous
NXTDIGITAL,NXTDIGITAL LIMITED,EQ,24-Apr-07,INE353A01023,,#N/A,ISL,Miscellaneous,46.7,-0.85,-1.79,"1,494",Miscellaneous
OAL,Oriental Aromatics Limited,EQ,11-Jul-19,INE959C01023,,#N/A,Greenply Ind,Miscellaneous,111.7,-2.1,-1.85,"1,370",Miscellaneous
OBEROIRLTY,Oberoi Realty Limited,EQ,20-Oct-10,INE093I01010,,#N/A,Mittal Life Sty,Miscellaneous,13,-0.25,-1.89,15,Miscellaneous
OCCL,Oriental Carbon & Chemicals Limited,EQ,27-Jan-16,INE321D01016,,#N/A,CARE Ratings,Miscellaneous,526.5,-10.65,-1.98,"1,551",Miscellaneous
OFSS,Oracle Financial Services Software Limited,EQ,28-Jun-02,INE881D01027,,#N/A,TAEL,Miscellaneous,776.35,-15.85,-2,793,Miscellaneous
OIL,Oil India Limited,EQ,30-Sep-09,INE274J01014,,Prakash Pipes Limited,PPL,Miscellaneous,94.7,-1.95,-2.02,193,Miscellaneous
OILCOUNTUB,Oil Country Tubular Limited,BE,30-Aug-95,INE591A01010,,#N/A,Karma Energy,Power - Generation & Distribution,11.7,-0.25,-2.09,14,Miscellaneous
OISL,OCL Iron and Steel Limited,BZ,1-Aug-08,INE196J01019,,#N/A,Sambhaav Media,Printing & Stationery,2.3,-0.05,-2.13,44,Miscellaneous
OISL,OCL Iron and Steel Limited,EQ,1-Aug-08,INE196J01019,,#N/A,Krishana Phosch,Miscellaneous,73.4,-1.6,-2.13,183,Miscellaneous
OLECTRA,Olectra Greentech Limited,EQ,20-Mar-02,INE260D01016,,#N/A,Future Market,Miscellaneous,19.75,-0.45,-2.23,114,Miscellaneous
OMAXAUTO,Omax Autos Limited,EQ,20-Feb-03,INE090B01011,,#N/A,D. P. Abhushan,Miscellaneous,86.95,-2.05,-2.3,194,Miscellaneous
OMAXE,Omaxe Limited,EQ,9-Aug-07,INE800H01010,,#N/A,Somi Conveyor,Rubber,24.05,-0.6,-2.43,28,Miscellaneous
OMKARCHEM,Omkar Speciality Chemicals Limited,BE,10-Feb-11,INE474L01016,,#N/A,AFL,Miscellaneous,153.7,-3.95,-2.51,"1,516",Miscellaneous
OMMETALS,OM Metals Infraprojects Limited,EQ,17-Jun-11,INE239D01028,,#N/A,ICE Make Refrig,Miscellaneous,104.4,-3.05,-2.84,164,Miscellaneous
ONELIFECAP,Onelife Capital Advisors Limited,EQ,17-Oct-11,INE912L01015,,#N/A,GIL,Miscellaneous,109.65,-3.3,-2.92,"1,345",Miscellaneous
ONEPOINT,One Point One Solutions Limited,BE,9-May-19,INE840Y01011,,#N/A,Mangalam Timber,Miscellaneous,9.2,-0.3,-3.16,17,Miscellaneous
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-Jul-95,INE213A01029,,#N/A,ICRA,Miscellaneous,2685,-92.1,-3.32,"2,591",Miscellaneous
ONMOBILE,OnMobile Global Limited,EQ,19-Feb-08,INE809I01019,,#N/A,Balkrishna,Paper,18,-0.65,-3.49,19,Miscellaneous
ONWARDTEC,Onward Technologies Limited,EQ,7-Mar-01,INE229A01017,,#N/A,Jubilant Ind,Miscellaneous,242,-10.1,-4.01,364,Miscellaneous
OPTIEMUS,Optiemus Infracom Limited,BE,8-Aug-17,INE350C01017,,#N/A,JITF Infralogis,Miscellaneous,9.85,-0.5,-4.83,25,Miscellaneous
OPTOCIRCUI,Opto Circuits (India) Limited,BE,25-Aug-03,INE808B01016,,#N/A,Talwalkars Fitn,Miscellaneous,1.95,-0.1,-4.88,6,Miscellaneous
ORBTEXP,Orbit Exports Limited,EQ,5-Nov-13,INE231G01010,,TREJHARA SOLUTIONS LIMITED,Trejhara,Miscellaneous,44.3,-2.3,-4.94,52,Miscellaneous
ORCHPHARMA,Orchid Pharma Limited,BZ,2-Nov-20,INE191A01027,,#N/A,Yaarii Digital,Miscellaneous,79.05,-4.15,-4.99,706,Miscellaneous
ORICONENT,Oricon Enterprises Limited,EQ,24-Jul-15,INE730A01022,,#N/A,SHUBHLAXMI,Miscellaneous,13.3,-0.7,-5,11,Miscellaneous
ORIENTABRA,Orient Abrasives Limited,EQ,15-Dec-05,INE569C01020,,#N/A,MRPL,Refineries,36.5,1.7,4.89,"6,397",Oil&Gas
ORIENTALTL,Oriental Trimex Limited,EQ,7-Mar-07,INE998H01012,,#N/A,HPCL,Refineries,226.4,9.05,4.16,"34,499",Oil&Gas
ORIENTBELL,Orient Bell Limited,EQ,14-Feb-07,INE607D01018,,#N/A,ONGC,Oil Drilling And Exploration,100.05,3.25,3.36,"125,866",Oil&Gas
ORIENTCEM,Orient Cement Limited,EQ,12-Jul-13,INE876N01018,,#N/A,Gujarat Gas,Oil Drilling And Exploration,358.9,10.15,2.91,"24,706",Oil&Gas
ORIENTELEC,Orient Electric Limited,EQ,14-May-18,INE142Z01019,,#N/A,Mahanagar Gas,Refineries,1084.3,25.1,2.37,"10,710",Oil&Gas
ORIENTHOT,Oriental Hotels Limited,EQ,27-Aug-98,INE750A01020,,#N/A,Oil India,Oil Drilling And Exploration,112.2,2.55,2.33,"12,167",Oil&Gas
ORIENTLTD,Orient Press Limited,EQ,3-Mar-10,INE609C01024,,#N/A,HOEC,Oil Drilling And Exploration,92.95,2.1,2.31,"1,229",Oil&Gas
ORIENTPPR,Orient Paper & Industries Limited,EQ,29-Mar-95,INE592A01026,,#N/A,IOC,Refineries,95.9,2.05,2.18,"90,282",Oil&Gas
ORIENTREF,Orient Refractories Limited,EQ,12-Mar-12,INE743M01012,,#N/A,Petronet LNG,Oil Drilling And Exploration,267,5.4,2.06,"40,050",Oil&Gas
ORISSAMINE,The Orissa Minerals Development Company Limited,EQ,29-Sep-10,INE725E01024,,#N/A,BPCL,Refineries,403.5,6.1,1.53,"87,529",Oil&Gas
ORTEL,Ortel Communications Limited,BZ,19-Mar-15,INE849L01019,,#N/A,IGL,Oil Drilling And Exploration,488.4,6.15,1.28,"34,188",Oil&Gas
ORTINLABSS,Ortin Laboratories Limited,EQ,21-Aug-15,INE749B01012,,#N/A,Deep Energy Res,Oil Drilling And Exploration,45.8,0.55,1.22,147,Oil&Gas
OSWALAGRO,Oswal Agro Mills Limited,EQ,29-Mar-95,INE142A01012,,#N/A,Chennai Petro,Refineries,105.1,0.65,0.62,"1,565",Oil&Gas
PAEL,PAE Limited,EQ,12-Apr-95,INE766A01018,,#N/A,GAIL,Oil Drilling And Exploration,126,0.15,0.12,"56,828",Oil&Gas
PAGEIND,Page Industries Limited,EQ,16-Mar-07,INE761H01022,,#N/A,Jindal Drilling,Oil Drilling And Exploration,96.95,-0.05,-0.05,281,Oil&Gas
PAISALO,Paisalo Digital Limited,EQ,17-Oct-11,INE420C01042,,Reliance Industries Limited,Reliance,Refineries,1993.7,-12.1,-0.6,"1,284,959",Oil&Gas
PALASHSECU,Palash Securities Limited,EQ,28-Jul-17,INE471W01019,,#N/A,Guj State Petro,Oil Drilling And Exploration,229.8,-2.6,-1.12,"12,966",Oil&Gas
PALREDTEC,Palred Technologies Limited,BE,9-May-16,INE218G01033,,#N/A,Aban Offshore,Oil Drilling And Exploration,30,-0.5,-1.64,175,Oil&Gas
PANACEABIO,Panacea Biotec Limited,EQ,17-Apr-96,INE922B01023,,#N/A,Selan Explore,Oil Drilling And Exploration,138.35,-2.65,-1.88,210,Oil&Gas
PANACHE,Panache Digilife Limited,EQ,6-Jan-20,INE895W01019,,#N/A,Vaishali Pharma,Pharmaceuticals,37.2,2.3,6.59,39,Pharmaceuticals
PANAMAPET,Panama Petrochem Limited,EQ,30-Sep-11,INE305C01029,,#N/A,Suven Life Sci,Pharmaceuticals,79.8,4.45,5.91,"1,016",Pharmaceuticals
PARABDRUGS,Parabolic Drugs Limited,BZ,1-Jul-10,INE618H01016,,#N/A,Lyka Labs,Pharmaceuticals,22.65,1.25,5.84,65,Pharmaceuticals
PARACABLES,Paramount Communications Limited,EQ,3-Jan-07,INE074B01023,,#N/A,Bafna Pharma,Pharmaceuticals,197.15,9.35,4.98,466,Pharmaceuticals
PARAGMILK,Parag Milk Foods Limited,EQ,19-May-16,INE883N01014,,Wanbury Limited,Wanbury,Pharmaceuticals,39.85,1.85,4.87,100,Pharmaceuticals
PARSVNATH,Parsvnath Developers Limited,BE,30-Nov-06,INE561H01026,,#N/A,Syncom Health,Pharmaceuticals,2.3,0.1,4.55,9,Pharmaceuticals
PATELENG,Patel Engineering Limited,EQ,24-Feb-05,INE244B01030,,#N/A,Country Condos,Pharmaceuticals,3.65,0.15,4.29,28,Pharmaceuticals
PATINTLOG,Patel Integrated Logistics Limited,EQ,11-Jan-08,INE529D01014,,#N/A,Cipla,Pharmaceuticals,784.15,28.3,3.74,"63,237",Pharmaceuticals
PATSPINLTD,Patspin India Limited,EQ,10-May-95,INE790C01014,,#N/A,Parabolic Drugs,Pharmaceuticals,3,0.1,3.45,19,Pharmaceuticals
PCJEWELLER,PC Jeweller Limited,EQ,27-Dec-12,INE785M01013,,#N/A,JB Chemicals,Pharmaceuticals,1033.25,34.05,3.41,"7,985",Pharmaceuticals
PDMJEPAPER,Pudumjee Paper Products Limited,EQ,30-Mar-16,INE865T01018,,#N/A,Abbott India,Pharmaceuticals,16500,412.45,2.56,"35,061",Pharmaceuticals
PDSMFL,PDS Multinational Fashions Limited,EQ,21-Oct-14,INE111Q01013,,#N/A,Alembic,Pharmaceuticals,102.5,2.45,2.45,"2,632",Pharmaceuticals
PEARLPOLY,Pearl Polymers Limited,EQ,11-Oct-95,INE844A01013,,#N/A,Albert David,Pharmaceuticals,461,9.9,2.19,263,Pharmaceuticals
PEL,Piramal Enterprises Limited,EQ,8-Feb-95,INE140A01024,,#N/A,Ortin Labs,Pharmaceuticals,25.8,0.55,2.18,44,Pharmaceuticals
PENIND,Pennar Industries Limited,EQ,25-Nov-10,INE932A01024,,#N/A,Jubilant Life,Pharmaceuticals,812.35,16.1,2.02,"12,939",Pharmaceuticals
PENINLAND,Peninsula Land Limited,EQ,8-Feb-95,INE138A01028,,#N/A,Zota Health Car,Pharmaceuticals,152.35,2.8,1.87,374,Pharmaceuticals
PERSISTENT,Persistent Systems Limited,EQ,6-Apr-10,INE262H01013,,#N/A,Ipca Labs,Pharmaceuticals,2244.4,33.2,1.5,"28,471",Pharmaceuticals
PETRONET,Petronet LNG Limited,EQ,26-Mar-04,INE347G01014,,#N/A,TTK Healthcare,Pharmaceuticals,605,8.65,1.45,855,Pharmaceuticals
PFC,Power Finance Corporation Limited,EQ,23-Feb-07,INE134E01011,,#N/A,Strides Pharma,Pharmaceuticals,795.35,10.75,1.37,"7,129",Pharmaceuticals
PFIZER,Pfizer Limited,EQ,28-Apr-99,INE182A01018,,#N/A,Cadila Health,Pharmaceuticals,472.75,6.1,1.31,"48,397",Pharmaceuticals
PFOCUS,Prime Focus Limited,EQ,20-Jun-06,INE367G01038,,#N/A,Ind-Swift,Pharmaceuticals,4.3,0.05,1.18,23,Pharmaceuticals
PFS,PTC India Financial Services Limited,EQ,30-Mar-11,INE560K01014,,#N/A,Procter&Gamble,Pharmaceuticals,6695.1,74,1.12,"11,113",Pharmaceuticals
PGEL,PG Electroplast Limited,EQ,26-Sep-11,INE457L01011,,#N/A,Pfizer,Pharmaceuticals,5338.5,57.35,1.09,"24,422",Pharmaceuticals
PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ,7-Jul-04,INE179A01014,,#N/A,Sun Pharma,Pharmaceuticals,573.95,5.85,1.03,"137,710",Pharmaceuticals
PGHL,Procter & Gamble Health Limited,EQ,24-Apr-96,INE199A01012,,#N/A,Brooks Labs,Pharmaceuticals,69.2,0.7,1.02,171,Pharmaceuticals
PGIL,Pearl Global Industries Limited,EQ,15-Feb-07,INE940H01014,,#N/A,Sanofi India,Pharmaceuticals,8000,75.6,0.95,"18,424",Pharmaceuticals
PHILIPCARB,Phillips Carbon Black Limited,EQ,29-Mar-95,INE602A01023,,#N/A,Torrent Pharma,Pharmaceuticals,2671.1,24.4,0.92,"45,201",Pharmaceuticals
PHOENIXLTD,The Phoenix Mills Limited,EQ,23-Apr-07,INE211B01039,,#N/A,Themis Medicare,Pharmaceuticals,372.5,2.95,0.8,342,Pharmaceuticals
PIDILITIND,Pidilite Industries Limited,EQ,29-Mar-95,INE318A01026,,#N/A,Ind-Swift Labs,Pharmaceuticals,62.45,0.45,0.73,369,Pharmaceuticals
PIIND,PI Industries Limited,EQ,15-Jun-11,INE603J01030,,#N/A,FDC,Pharmaceuticals,348.55,2.2,0.64,"5,959",Pharmaceuticals
PILANIINVS,Pilani Investment and Industries Corporation Limited,EQ,8-Dec-15,INE417C01014,,#N/A,Alkem Lab,Pharmaceuticals,2913.95,17.8,0.61,"34,841",Pharmaceuticals
PILITA,PIL ITALICA LIFESTYLE LIMITED,EQ,7-Oct-13,INE600A01035,,#N/A,Advanced Enzyme,Pharmaceuticals,339.45,1.75,0.52,"3,792",Pharmaceuticals
PIONDIST,Pioneer Distilleries Limited,EQ,15-Jun-10,INE889E01010,,#N/A,Lupin,Pharmaceuticals,942.95,3.55,0.38,"42,754",Pharmaceuticals
PIONEEREMB,Pioneer Embroideries Limited,EQ,16-May-06,INE156C01018,,#N/A,Mangalam Drugs,Pharmaceuticals,141.7,0.5,0.35,224,Pharmaceuticals
PITTIENG,Pitti Engineering Limited,EQ,2-Feb-07,INE450D01021,,#N/A,JagsonpalPharma,Pharmaceuticals,66.7,0.2,0.3,175,Pharmaceuticals
PKTEA,The Peria Karamalai Tea & Produce Company Limited,BE,19-Aug-15,INE431F01018,,#N/A,Panacea Biotec,Pharmaceuticals,245.95,0.5,0.2,"1,506",Pharmaceuticals
PLASTIBLEN,Plastiblends India Limited,EQ,28-Dec-06,INE083C01022,,#N/A,GlaxoSmithKline,Pharmaceuticals,1553.65,2.5,0.16,"26,320",Pharmaceuticals
PNB,Punjab National Bank,EQ,24-Apr-02,INE160A01022,,#N/A,Kilitch Drugs,Pharmaceuticals,93.3,0.15,0.16,145,Pharmaceuticals
PNBGILTS,PNB Gilts Limited,EQ,18-Sep-00,INE859A01011,,#N/A,Ajanta Pharma,Pharmaceuticals,1685,2.35,0.14,"14,704",Pharmaceuticals
PNBHOUSING,PNB Housing Finance Limited,EQ,7-Nov-16,INE572E01012,,#N/A,Hikal,Pharmaceuticals,169.75,0.2,0.12,"2,093",Pharmaceuticals
PNC,Pritish Nandy Communications Limited,EQ,11-Dec-00,INE392B01011,,#N/A,Indoco Remedies,Pharmaceuticals,284.6,0.15,0.05,"2,623",Pharmaceuticals
PNCINFRA,PNC Infratech Limited,EQ,26-May-15,INE195J01029,,#N/A,Caplin Labs,Pharmaceuticals,500.7,0.2,0.04,"3,787",Pharmaceuticals
PODDARHOUS,Poddar Housing and Development Limited,EQ,10-Apr-17,INE888B01018,,#N/A,Astec Life,Pharmaceuticals,1065,0.2,0.02,"2,085",Pharmaceuticals
PODDARMENT,Poddar Pigments Limited,EQ,22-Nov-16,INE371C01013,,#N/A,Gufic Bio,Pharmaceuticals,121.75,0,0,948,Pharmaceuticals
POKARNA,Pokarna Limited,EQ,7-Jul-16,INE637C01025,,#N/A,Sun Pharma Adv,Pharmaceuticals,188.1,0,0,"4,929",Pharmaceuticals
POLYCAB,Polycab India Limited,EQ,16-Apr-19,INE455K01017,,#N/A,AstraZeneca,Pharmaceuticals,4499.45,-3.55,-0.08,"11,249",Pharmaceuticals
POLYMED,Poly Medicure Limited,EQ,7-Dec-11,INE205C01021,,#N/A,Marksans Pharma,Pharmaceuticals,60.35,-0.05,-0.08,"2,470",Pharmaceuticals
POLYPLEX,Polyplex Corporation Limited,EQ,11-Apr-03,INE633B01018,,#N/A,Dr Reddys Labs,Pharmaceuticals,5009.7,-7.25,-0.14,"83,304",Pharmaceuticals
PONNIERODE,Ponni Sugars (Erode) Limited,EQ,16-Apr-02,INE838E01017,,#N/A,Glenmark,Pharmaceuticals,526.35,-1,-0.19,"14,852",Pharmaceuticals
POWERGRID,Power Grid Corporation of India Limited,EQ,5-Oct-07,INE752E01010,,#N/A,Laurus Labs,Pharmaceuticals,328.1,-0.85,-0.26,"17,586",Pharmaceuticals
POWERINDIA,ABB Power Products and Systems India Limited,EQ,30-Mar-20,INE07Y701011,,#N/A,Shilpa,Pharmaceuticals,473.85,-1.25,-0.26,"3,863",Pharmaceuticals
POWERMECH,Power Mech Projects Limited,EQ,26-Aug-15,INE211R01019,,#N/A,Venus Remedies,Pharmaceuticals,142.25,-0.4,-0.28,176,Pharmaceuticals
PPAP,PPAP Automotive Limited,EQ,11-Jan-08,INE095I01015,,#N/A,IOL Chemicals,Pharmaceuticals,765.4,-2.6,-0.34,"4,493",Pharmaceuticals
PPL,Prakash Pipes Limited,EQ,14-Jun-19,INE050001010,,#N/A,Natco Pharma,Pharmaceuticals,949.55,-3.55,-0.37,"17,300",Pharmaceuticals
PRABHAT,Prabhat Dairy Limited,EQ,21-Sep-15,INE302M01033,,#N/A,Alpa Labs,Pharmaceuticals,37,-0.15,-0.4,78,Pharmaceuticals
PRADIP,Pradip Overseas Limited,EQ,5-Apr-10,INE495J01015,,#N/A,Aurobindo Pharm,Pharmaceuticals,893.7,-3.65,-0.41,"52,365",Pharmaceuticals
PRAENG,Prajay Engineers Syndicate Limited,EQ,2-Jan-07,INE505C01016,,#N/A,Bal Pharma,Pharmaceuticals,57,-0.25,-0.44,81,Pharmaceuticals
PRAJIND,Praj Industries Limited,EQ,11-Oct-95,INE074A01025,,#N/A,Kopran,Pharmaceuticals,132.5,-0.6,-0.45,573,Pharmaceuticals
PRAKASH,Prakash Industries Limited,EQ,10-May-95,INE603A01013,,#N/A,Hester Bio,Pharmaceuticals,1741.05,-7.95,-0.45,"1,481",Pharmaceuticals
PRAKASHSTL,Prakash Steelage Limited,EQ,25-Aug-10,INE696K01024,,#N/A,Divis Labs,Pharmaceuticals,3625.3,-16.8,-0.46,"96,240",Pharmaceuticals
